# number of annotations: 3390
# number of IDs: 27
# %sparse: 19.57

# the sum and mean counts per row
                  sum     mean
2.3.1.129    11301.61   418.58
2.5.1.46     11276.33   417.64
4.1.3.42     11260.30   417.05
4.1.2.14     11260.30   417.05
2.7.9.3      11254.88   416.85
3.1.1.29     11251.23   416.71
2.6.1.52     11246.93   416.55
4.2.1.126    11236.37   416.16
2.1.1.250    11226.09   415.78
2.7.4.8      11219.32   415.53
2.7.1.130    11208.95   415.15
2.7.8.41     11137.17   412.49
3.6.3.16     11135.21   412.42
2.7.2.11     11061.87   409.70
3.5.4.31     11029.76   408.51
3.5.4.28     11029.76   408.51
2.8.1.6      11016.17   408.01
3.1.11.2     11007.51   407.69
2.4.1.11     10931.50   404.87
4.1.1.35     10821.64   400.80
4.1.3.34     10796.45   399.87
2.6.1.13     10764.02   398.67
4.1.99.1     10736.01   397.63
2.5.1.17     10666.73   395.06
3.1.13.3     10653.33   394.57
1.1.99.3     10542.98   390.48
3.1.4.16     10530.34   390.01
3.1.3.6      10530.34   390.01
4.2.1.19     10507.66   389.17
1.8.4.10     10494.38   388.68
1.8.4.8      10494.38   388.68
5.3.1.22     10430.93   386.33
3.6.1.45     10430.90   386.33
2.1.1.245    10374.39   384.24
2.7.7.56     10358.06   383.63
1.6.5.2      10354.72   383.51
5.4.3.2      10335.89   382.81
3.4.17.11    10323.66   382.36
2.7.7.38     10317.90   382.14
2.7.1.121    10299.58   381.47
1.14.14.5    10296.53   381.35
4.3.1.12     10291.36   381.16
2.6.1.83     10288.06   381.04
1.11.1.5     10274.17   380.52
4.1.1.45     10263.37   380.12
4.4.1.5      10257.93   379.92
2.7.1.221    10243.66   379.39
2.7.1.168    10198.80   377.73
4.6.1.12     10163.10   376.41
2.7.7.3      10152.62   376.02
1.7.5.1      10098.43   374.02
2.4.99.18    10092.24   373.79
3.1.1.11     10074.49   373.13
3.5.1.53      9992.11   370.08
3.4.13.22     9973.08   369.37
4.6.1.17      9937.69   368.06
1.4.3.4       9936.77   368.03
2.5.1.74      9876.40   365.79
1.6.1.1       9876.24   365.79
5.1.2.3       9866.85   365.44
3.5.1.6       9863.94   365.33
3.2.1.89      9850.44   364.83
2.5.1.9       9793.62   362.73
5.3.1.14      9777.68   362.14
2.5.1.55      9766.45   361.72
2.7.7.76      9766.17   361.71
6.5.1.3       9744.21   360.90
3.5.2.10      9729.32   360.35
2.3.1.181     9716.33   359.86
2.1.1.226     9680.85   358.55
2.1.1.227     9680.85   358.55
1.3.99.28     9669.30   358.12
1.3.99.31     9669.30   358.12
1.3.99.26     9669.30   358.12
1.3.99.29     9669.30   358.12
1.1.1.41      9667.67   358.06
2.8.1.12      9644.77   357.21
3.5.4.2       9611.63   355.99
2.7.4.6       9610.84   355.96
1.1.98.6      9557.07   353.97
3.4.19.5      9534.80   353.14
2.1.1.74      9487.74   351.40
3.1.4.58      9458.05   350.30
3.1.3.97      9419.76   348.88
3.1.3.10      9393.33   347.90
4.2.1.82      9385.86   347.62
4.2.1.6       9370.12   347.04
2.5.1.105     9348.87   346.25
